antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'amsterdam'}),frozenset({'registration'}),0.09243697478991597,0.20588235294117646,0.09243697478991597,1.0,4.857142857142858,0.07340583292140386,inf
frozenset({'universiteit'}),frozenset({'amsterdam'}),0.09243697478991597,0.09243697478991597,0.09243697478991597,1.0,10.818181818181818,0.08389238048160441,inf
frozenset({'amsterdam'}),frozenset({'universiteit'}),0.09243697478991597,0.09243697478991597,0.09243697478991597,1.0,10.818181818181818,0.08389238048160441,inf
frozenset({'amsterdam'}),frozenset({'vrije'}),0.09243697478991597,0.09243697478991597,0.09243697478991597,1.0,10.818181818181818,0.08389238048160441,inf
frozenset({'vrije'}),frozenset({'amsterdam'}),0.09243697478991597,0.09243697478991597,0.09243697478991597,1.0,10.818181818181818,0.08389238048160441,inf
frozenset({'vunet'}),frozenset({'amsterdam'}),0.09243697478991597,0.09243697478991597,0.09243697478991597,1.0,10.818181818181818,0.08389238048160441,inf
frozenset({'amsterdam'}),frozenset({'vunet'}),0.09243697478991597,0.09243697478991597,0.09243697478991597,1.0,10.818181818181818,0.08389238048160441,inf
frozenset({'course'}),frozenset({'mastermath'}),0.09243697478991597,0.22268907563025211,0.09243697478991597,1.0,4.4905660377358485,0.07185227031989266,inf
frozenset({'part'}),frozenset({'course'}),0.09243697478991597,0.09243697478991597,0.09243697478991597,1.0,10.818181818181818,0.08389238048160441,inf
frozenset({'course'}),frozenset({'part'}),0.09243697478991597,0.09243697478991597,0.09243697478991597,1.0,10.818181818181818,0.08389238048160441,inf
frozenset({'course'}),frozenset({'programme'}),0.09243697478991597,0.2184873949579832,0.09243697478991597,1.0,4.576923076923077,0.07224066097027046,inf
frozenset({'website'}),frozenset({'course'}),0.10504201680672269,0.09243697478991597,0.09243697478991597,0.88,9.52,0.08272720853047101,7.563025210084034
frozenset({'course'}),frozenset({'website'}),0.09243697478991597,0.10504201680672269,0.09243697478991597,1.0,9.52,0.08272720853047101,inf
frozenset({'httpwwwstudentuvanlmathazitemcourseregistrationhtml'}),frozenset({'mastermath'}),0.1092436974789916,0.22268907563025211,0.1092436974789916,1.0,4.4905660377358485,0.08491631946896405,inf
frozenset({'httpwwwstudentuvanlmathazitemcourseregistrationhtml'}),frozenset({'procedure'}),0.1092436974789916,0.1092436974789916,0.1092436974789916,1.0,9.153846153846153,0.09730951204011017,inf
