support,itemsets
0.09243697478991597,frozenset({'amsterdam'})
0.12605042016806722,frozenset({'chemistry'})
0.09243697478991597,frozenset({'course'})
0.1092436974789916,frozenset({'httpwwwstudentuvanlmathazitemcourseregistrationhtml'})
0.13025210084033614,frozenset({'lecture'})
0.22268907563025211,frozenset({'mastermath'})
0.09243697478991597,frozenset({'part'})
0.1092436974789916,frozenset({'procedure'})
0.2184873949579832,frozenset({'programme'})
0.06722689075630252,frozenset({'programming'})
0.08403361344537816,frozenset({'quantum'})
0.20588235294117646,frozenset({'registration'})
0.07563025210084033,frozenset({'seminar'})
0.1092436974789916,frozenset({'student'})
0.08823529411764706,frozenset({'study'})
0.07563025210084033,frozenset({'syllabus'})
0.08403361344537816,frozenset({'teaching'})
0.09243697478991597,frozenset({'universiteit'})
0.09243697478991597,frozenset({'vrije'})
0.09243697478991597,frozenset({'vunet'})
0.10504201680672269,frozenset({'website'})
0.09243697478991597,"frozenset({'amsterdam', 'registration'})"
0.09243697478991597,"frozenset({'universiteit', 'amsterdam'})"
0.09243697478991597,"frozenset({'amsterdam', 'vrije'})"
0.09243697478991597,"frozenset({'vunet', 'amsterdam'})"
0.09243697478991597,"frozenset({'mastermath', 'course'})"
0.09243697478991597,"frozenset({'part', 'course'})"
0.09243697478991597,"frozenset({'programme', 'course'})"
0.09243697478991597,"frozenset({'website', 'course'})"
0.1092436974789916,"frozenset({'httpwwwstudentuvanlmathazitemcourseregistrationhtml', 'mastermath'})"
0.1092436974789916,"frozenset({'httpwwwstudentuvanlmathazitemcourseregistrationhtml', 'procedure'})"
0.1092436974789916,"frozenset({'programme', 'httpwwwstudentuvanlmathazitemcourseregistrationhtml'})"
0.1092436974789916,"frozenset({'httpwwwstudentuvanlmathazitemcourseregistrationhtml', 'registration'})"
0.09243697478991597,"frozenset({'part', 'mastermath'})"
0.1092436974789916,"frozenset({'procedure', 'mastermath'})"
0.2184873949579832,"frozenset({'programme', 'mastermath'})"
0.1134453781512605,"frozenset({'mastermath', 'registration'})"
0.10504201680672269,"frozenset({'mastermath', 'website'})"
0.09243697478991597,"frozenset({'part', 'programme'})"
0.09243697478991597,"frozenset({'part', 'website'})"
0.1092436974789916,"frozenset({'programme', 'procedure'})"
0.1092436974789916,"frozenset({'procedure', 'registration'})"
0.1134453781512605,"frozenset({'programme', 'registration'})"
0.10504201680672269,"frozenset({'programme', 'website'})"
0.09243697478991597,"frozenset({'universiteit', 'registration'})"
0.09243697478991597,"frozenset({'registration', 'vrije'})"
0.09243697478991597,"frozenset({'vunet', 'registration'})"
0.05042016806722689,"frozenset({'student', 'teaching'})"
0.09243697478991597,"frozenset({'universiteit', 'vrije'})"
0.09243697478991597,"frozenset({'universiteit', 'vunet'})"
0.09243697478991597,"frozenset({'vunet', 'vrije'})"
0.09243697478991597,"frozenset({'universiteit', 'amsterdam', 'registration'})"
0.09243697478991597,"frozenset({'amsterdam', 'registration', 'vrije'})"
0.09243697478991597,"frozenset({'amsterdam', 'vunet', 'registration'})"
