antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'registration'}),frozenset({'amsterdam'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'amsterdam'}),frozenset({'registration'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'universiteit'}),frozenset({'amsterdam'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'amsterdam'}),frozenset({'universiteit'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'amsterdam'}),frozenset({'vrije'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vrije'}),frozenset({'amsterdam'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vunet'}),frozenset({'amsterdam'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'amsterdam'}),frozenset({'vunet'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'training'}),frozenset({'learning'}),0.08064516129032258,0.12096774193548387,0.06451612903225806,0.8,6.613333333333333,0.05476066597294485,4.395161290322582
frozenset({'universiteit'}),frozenset({'registration'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'registration'}),frozenset({'universiteit'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'registration'}),frozenset({'vrije'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vrije'}),frozenset({'registration'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vunet'}),frozenset({'registration'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'registration'}),frozenset({'vunet'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'universiteit'}),frozenset({'vrije'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vrije'}),frozenset({'universiteit'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'universiteit'}),frozenset({'vunet'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vunet'}),frozenset({'universiteit'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vunet'}),frozenset({'vrije'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vrije'}),frozenset({'vunet'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'universiteit', 'registration'})",frozenset({'amsterdam'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'universiteit', 'amsterdam'})",frozenset({'registration'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'amsterdam', 'registration'})",frozenset({'universiteit'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'universiteit'}),"frozenset({'amsterdam', 'registration'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'registration'}),"frozenset({'universiteit', 'amsterdam'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'amsterdam'}),"frozenset({'universiteit', 'registration'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'amsterdam', 'registration'})",frozenset({'vrije'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'registration', 'vrije'})",frozenset({'amsterdam'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'amsterdam', 'vrije'})",frozenset({'registration'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'registration'}),"frozenset({'amsterdam', 'vrije'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'amsterdam'}),"frozenset({'registration', 'vrije'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vrije'}),"frozenset({'amsterdam', 'registration'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'vunet', 'registration'})",frozenset({'amsterdam'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'amsterdam', 'registration'})",frozenset({'vunet'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'vunet', 'amsterdam'})",frozenset({'registration'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'registration'}),"frozenset({'vunet', 'amsterdam'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vunet'}),"frozenset({'amsterdam', 'registration'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'amsterdam'}),"frozenset({'vunet', 'registration'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'universiteit', 'amsterdam'})",frozenset({'vrije'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'universiteit', 'vrije'})",frozenset({'amsterdam'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'amsterdam', 'vrije'})",frozenset({'universiteit'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'universiteit'}),"frozenset({'amsterdam', 'vrije'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'amsterdam'}),"frozenset({'universiteit', 'vrije'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
frozenset({'vrije'}),"frozenset({'universiteit', 'amsterdam'})",0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'universiteit', 'vunet'})",frozenset({'amsterdam'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
"frozenset({'universiteit', 'amsterdam'})",frozenset({'vunet'}),0.21774193548387097,0.21774193548387097,0.21774193548387097,1.0,4.592592592592593,0.17033038501560874,inf
