antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'adolescence'}),frozenset({'adolescent'}),0.08333333333333333,0.125,0.08333333333333333,1.0,8.0,0.07291666666666666,inf
frozenset({'adolescence'}),frozenset({'developmental'}),0.08333333333333333,0.25,0.08333333333333333,1.0,4.0,0.0625,inf
frozenset({'assessment'}),frozenset({'study'}),0.16666666666666666,0.3333333333333333,0.125,0.75,2.25,0.06944444444444445,2.666666666666667
frozenset({'development'}),frozenset({'developmental'}),0.08333333333333333,0.25,0.08333333333333333,1.0,4.0,0.0625,inf
frozenset({'modelling'}),frozenset({'educational'}),0.08333333333333333,0.3333333333333333,0.08333333333333333,1.0,3.0,0.05555555555555555,inf
frozenset({'supervision'}),frozenset({'practice'}),0.08333333333333333,0.20833333333333334,0.08333333333333333,1.0,4.8,0.06597222222222221,inf
frozenset({'researcher'}),frozenset({'research'}),0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,6.0,0.06944444444444445,inf
frozenset({'research'}),frozenset({'study'}),0.16666666666666666,0.3333333333333333,0.125,0.75,2.25,0.06944444444444445,2.666666666666667
frozenset({'researcher'}),frozenset({'study'}),0.08333333333333333,0.3333333333333333,0.08333333333333333,1.0,3.0,0.05555555555555555,inf
frozenset({'seminar'}),frozenset({'teaching'}),0.16666666666666666,0.20833333333333334,0.125,0.75,3.5999999999999996,0.09027777777777778,3.1666666666666665
frozenset({'supervision'}),frozenset({'student'}),0.08333333333333333,0.20833333333333334,0.08333333333333333,1.0,4.8,0.06597222222222221,inf
"frozenset({'adolescence', 'adolescent'})",frozenset({'developmental'}),0.08333333333333333,0.25,0.08333333333333333,1.0,4.0,0.0625,inf
"frozenset({'adolescence', 'developmental'})",frozenset({'adolescent'}),0.08333333333333333,0.125,0.08333333333333333,1.0,8.0,0.07291666666666666,inf
"frozenset({'adolescent', 'developmental'})",frozenset({'adolescence'}),0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,12.0,0.07638888888888888,inf
frozenset({'adolescence'}),"frozenset({'adolescent', 'developmental'})",0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,12.0,0.07638888888888888,inf
"frozenset({'teaching', 'educational'})",frozenset({'study'}),0.08333333333333333,0.3333333333333333,0.08333333333333333,1.0,3.0,0.05555555555555555,inf
"frozenset({'teaching', 'practice'})",frozenset({'seminar'}),0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,6.0,0.06944444444444445,inf
"frozenset({'seminar', 'practice'})",frozenset({'teaching'}),0.08333333333333333,0.20833333333333334,0.08333333333333333,1.0,4.8,0.06597222222222221,inf
"frozenset({'supervision', 'student'})",frozenset({'practice'}),0.08333333333333333,0.20833333333333334,0.08333333333333333,1.0,4.8,0.06597222222222221,inf
"frozenset({'supervision', 'practice'})",frozenset({'student'}),0.08333333333333333,0.20833333333333334,0.08333333333333333,1.0,4.8,0.06597222222222221,inf
"frozenset({'student', 'practice'})",frozenset({'supervision'}),0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,12.0,0.07638888888888888,inf
frozenset({'supervision'}),"frozenset({'student', 'practice'})",0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,12.0,0.07638888888888888,inf
"frozenset({'researcher', 'study'})",frozenset({'research'}),0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,6.0,0.06944444444444445,inf
"frozenset({'researcher', 'research'})",frozenset({'study'}),0.08333333333333333,0.3333333333333333,0.08333333333333333,1.0,3.0,0.05555555555555555,inf
frozenset({'researcher'}),"frozenset({'research', 'study'})",0.08333333333333333,0.125,0.08333333333333333,1.0,8.0,0.07291666666666666,inf
