antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'academic'}),frozenset({'thesis'}),0.07058823529411765,0.29411764705882354,0.058823529411764705,0.8333333333333334,2.8333333333333335,0.03806228373702422,4.23529411764706
frozenset({'economic'}),frozenset({'economics'}),0.12941176470588237,0.21176470588235294,0.10588235294117647,0.8181818181818181,3.8636363636363633,0.07847750865051903,4.335294117647058
frozenset({'overview'}),frozenset({'empirical'}),0.08235294117647059,0.10588235294117647,0.058823529411764705,0.7142857142857143,6.746031746031746,0.0501038062283737,3.129411764705883
frozenset({'research'}),frozenset({'empirical'}),0.10588235294117647,0.10588235294117647,0.08235294117647059,0.7777777777777778,7.34567901234568,0.07114186851211073,4.023529411764707
frozenset({'empirical'}),frozenset({'research'}),0.10588235294117647,0.10588235294117647,0.08235294117647059,0.7777777777777778,7.34567901234568,0.07114186851211073,4.023529411764707
frozenset({'empirical'}),frozenset({'seminar'}),0.10588235294117647,0.18823529411764706,0.08235294117647059,0.7777777777777778,4.131944444444445,0.06242214532871972,3.6529411764705886
frozenset({'empirical'}),frozenset({'thesis'}),0.10588235294117647,0.29411764705882354,0.08235294117647059,0.7777777777777778,2.6444444444444444,0.051211072664359855,3.176470588235294
frozenset({'methodology'}),frozenset({'thesis'}),0.10588235294117647,0.29411764705882354,0.08235294117647059,0.7777777777777778,2.6444444444444444,0.051211072664359855,3.176470588235294
frozenset({'msc'}),frozenset({'student'}),0.11764705882352941,0.21176470588235294,0.09411764705882353,0.8,3.777777777777778,0.06920415224913495,3.941176470588236
frozenset({'msc'}),frozenset({'thesis'}),0.11764705882352941,0.29411764705882354,0.10588235294117647,0.9,3.06,0.07128027681660899,7.058823529411765
frozenset({'overview'}),frozenset({'research'}),0.08235294117647059,0.10588235294117647,0.07058823529411765,0.8571428571428571,8.095238095238095,0.061868512110726644,6.258823529411763
frozenset({'overview'}),frozenset({'seminar'}),0.08235294117647059,0.18823529411764706,0.07058823529411765,0.8571428571428571,4.553571428571429,0.05508650519031142,5.682352941176469
frozenset({'overview'}),frozenset({'thesis'}),0.08235294117647059,0.29411764705882354,0.07058823529411765,0.8571428571428571,2.914285714285714,0.04636678200692042,4.941176470588233
frozenset({'research'}),frozenset({'seminar'}),0.10588235294117647,0.18823529411764706,0.09411764705882353,0.8888888888888888,4.722222222222222,0.07418685121107266,7.305882352941174
frozenset({'research'}),frozenset({'thesis'}),0.10588235294117647,0.29411764705882354,0.10588235294117647,1.0,3.4,0.07474048442906574,inf
frozenset({'seminar'}),frozenset({'thesis'}),0.18823529411764706,0.29411764705882354,0.16470588235294117,0.875,2.975,0.10934256055363321,5.647058823529411
frozenset({'student'}),frozenset({'thesis'}),0.21176470588235294,0.29411764705882354,0.15294117647058825,0.7222222222222223,2.4555555555555557,0.09065743944636678,2.541176470588236
"frozenset({'research', 'overview'})",frozenset({'empirical'}),0.07058823529411765,0.10588235294117647,0.058823529411764705,0.8333333333333334,7.870370370370371,0.05134948096885813,5.3647058823529425
"frozenset({'research', 'empirical'})",frozenset({'overview'}),0.08235294117647059,0.08235294117647059,0.058823529411764705,0.7142857142857143,8.673469387755102,0.05204152249134948,3.211764705882353
"frozenset({'overview', 'empirical'})",frozenset({'research'}),0.058823529411764705,0.10588235294117647,0.058823529411764705,1.0,9.444444444444445,0.05259515570934256,inf
